ra,hd,hr,gl,bf,dec,proper,dist,mag,ci,spect,con
315.53751,200614.0,8065.0,,,56.669614,,282.4859,5.83,#C4D6FD,B8III,Cepheus
315.61309500000004,200073.0,8046.0,,,-38.53097,,67.3401,5.93,#FFDCBB,K2III,Microscopium
315.74149499999993,200163.0,8048.0,,Zet Mic,-38.631446999999994,,35.3732,5.32,#F7F3FB,F3V,Microscopium
315.948375,200817.0,8078.0,,,53.2859,,114.2857,5.93,#FFE1C5,K0III,Cygnus
316.01968500000004,200496.0,8058.0,,12    Aqr,-5.823066000000001,,153.8462,5.53,#FFEFE5,G4,Aquarius
316.10125500000004,200499.0,8060.0,Gl 816.2A,22Eta Cap,-19.854991000000002,,49.505,4.82,#DEE7FF,A5V,Capricornus
316.14438,200644.0,8066.0,,3    Equ,5.502862,,235.8491,5.63,#FDC48D,K5III,Equuleus
316.179315,199532.0,8021.0,,Alp Oct,-77.023767,,43.535,5.13,#FAF3F6,F4III,Octans
316.23276,200905.0,8079.0,,62Xi  Cyg,43.927852,,258.3979,3.72,#FDC690,K5Ibv SB,Cygnus
316.30935,200365.0,8055.0,,Mu  Ind,-54.727042000000004,,112.1076,5.17,#FFD7B2,K2III,Indus
316.36134,200790.0,8077.0,,4    Equ,5.958199,,48.9237,5.94,#FCF3F2,F8V,Equuleus
316.37174999999996,201908.0,8112.0,,,78.12639200000001,,123.4568,5.91,#C3D5FD,B8Vn,Cepheus
316.48677000000004,200761.0,8075.0,,23The Cap,-17.232861,,49.7265,4.08,#C8D9FD,A1V,Capricornus
316.504755,200718.0,8070.0,,Del Mic,-30.125120000000003,,92.4214,5.69,#FFDFC1,K0/K1III,Microscopium
316.59735,201636.0,8099.0,,,71.431797,,48.7329,5.88,#F4F2FD,F3IV,Cepheus
316.602825,200763.0,8076.0,,,-32.341618,,100.6036,5.2,#FFDCBB,K2III,Microscopium
316.606305,200702.0,8069.0,,Eta Mic,-41.385965,,218.3406,5.55,#FED0A5,K3III,Microscopium
316.626015,201078.0,8084.0,,,31.184657,,518.1347,5.77,#FDF2F1,F7.5Ib-IIv,Cygnus
316.65039,201251.0,8089.0,,63    Cyg,47.648403,,316.4557,4.56,#FDC793,K4II,Cygnus
316.72191,201091.0,8085.0,Gl 820A,61    Cyg,38.749415,,3.4865,5.2,#FFDEBF,K5V,Cygnus
316.78195500000004,200914.0,8080.0,,24    Cap,-25.005853,,139.8601,4.49,#FDC691,K5/M0III,Capricornus
317.136255,200751.0,8073.0,,,-63.928259999999995,,156.9859,5.75,#FFD8B4,K0III,Pavo
317.14009500000003,201184.0,8087.0,Wo 9720,25Chi Cap,-21.193669,,55.1268,5.3,#C9D9FD,A0V,Capricornus
317.162025,201433.0,8094.0,,,30.205637,,115.7407,5.6,#C5D6FD,B9V,Cygnus
317.191785,177482.0,7228.0,,Sig Oct,-88.956499,,86.1326,5.45,#EBEEFF,F0III,Octans
317.34078,200525.0,8061.0,Gl 818.1A,,-73.17296800000001,,19.7668,5.67,#FEF2EE,G3IV,Pavo
317.39853,201381.0,8093.0,,13Nu  Aqr,-11.371692999999999,,48.852,4.5,#FFE5CD,G8III,Aquarius
317.56485,201834.0,8106.0,,,53.5631,,135.8696,5.75,#BFD3FE,B9III,Cygnus
317.58541499999995,201601.0,8097.0,,5Gam Equ,10.131578999999999,,36.2976,4.7,#E9EDFF,F0p,Equuleus
317.950995,202214.0,8119.0,,,59.98661,,100000.0,5.64,#D6E2FF,B0V,Cepheus
318.05709,201647.0,8100.0,Wo 9726,,-40.269362,,31.6656,5.83,#F8F3F9,F5IV,Microscopium
318.23410500000006,202109.0,8115.0,,64Zet Cyg,30.226915999999996,,43.8789,3.21,#FFE2C6,G8II SB,Cygnus
318.26265,201772.0,8104.0,,,-39.424921999999995,,32.9598,5.25,#F9F3F8,F5V,Microscopium
318.32218500000005,201901.0,8110.0,,,-27.619333,,112.4859,5.41,#FECD9F,K3III,Microscopium
318.328995,201852.0,8108.0,,,-36.423527,,112.1076,5.97,#FFE3C8,K0III,Microscopium
318.335265,201371.0,8092.0,,Omi Pav,-70.126267,,273.9726,5.06,#FDC793,M2III,Pavo
318.620055,202275.0,8123.0,Gl 822A,7Del Equ,10.006981,,18.4877,4.47,#FCF3F3,F5V+...,Equuleus
318.69775500000003,202444.0,8130.0,Gl 822.1A,65Tau Cyg,38.045317,,20.3417,3.74,#F4F2FC,F1IV,Cygnus
318.90792,202320.0,8127.0,,28Phi Cap,-20.651695999999998,,197.2387,5.17,#FFD9B6,K0II/III,Capricornus
318.926685,203399.0,8168.0,,,77.01229599999999,,291.5452,5.92,#FEC996,K5III,Cepheus
318.93684,202369.0,8128.0,,29    Cap,-15.1715,,187.6173,5.31,#FDC58E,M2III,Capricornus
318.94106999999997,202103.0,8114.0,,,-53.263084,,131.2336,5.73,#E1E8FF,A6IV,Indus
318.955965,202447.0,8131.0,,8Alp Equ,5.247845,,58.3431,3.92,#FDF3F1,G0III+...,Equuleus
319.30933500000003,202987.0,8150.0,,,55.798001,,369.0037,6.0,#FECC9D,K3III,Cepheus
319.353975,202850.0,8143.0,,67Sig Cyg,39.394681,,884.9558,4.22,#D5E1FF,B9Iab,Cygnus
319.47948,202904.0,8146.0,,66Ups Cyg,34.896898,,196.8504,4.41,#C0D4FE,B2Vne,Cygnus
319.48449,202627.0,8135.0,,Eps Mic,-32.172539,,55.8659,4.71,#D1DFFF,A0V,Microscopium
319.48869,202671.0,8137.0,,30    Cap,-17.985138,,163.6661,5.4,#BFD3FE,B5II/III,Capricornus
319.54614000000004,202753.0,8141.0,,15    Aqr,-4.519477999999999,,311.5265,5.83,#BED2FF,B5V,Aquarius
319.613265,203064.0,8154.0,,68    Cyg,43.945945,,100000.0,5.04,#C3D6FD,O8,Cygnus
319.64445,203280.0,8162.0,Gl 826,5Alp Cep,62.585573,Alderamin,15.0376,2.45,#E8EDFF,A7IV-V,Cepheus
319.71677999999997,202951.0,8149.0,,,11.203373,,289.0173,5.97,#FDC690,K5III,Equuleus
319.81537499999996,203338.0,8164.0,,,58.623502,,591.716,5.51,#FFDBBA,B3Vv comp,Cepheus
319.84242,203156.0,8157.0,,,38.237473,,662.2517,5.89,#FBF3F5,F2Ib,Cygnus
319.84257,203467.0,8171.0,,6    Cep,64.87185500000001,,609.7561,5.19,#C5D7FD,B3IVe,Cepheus
319.86978,203245.0,8161.0,,,49.510294,,167.2241,5.75,#BFD3FE,B6V,Cygnus
319.96644,202730.0,8140.0,Wo 9733A,The Ind,-53.449427,,30.2847,4.39,#E1E8FF,A5V,Indus
320.19012,203006.0,8151.0,,The1Mic,-40.809465,,60.4595,4.8,#CDDBFE,A2p,Microscopium
320.268255,203344.0,8165.0,,,23.855966,,82.9187,5.58,#FFDEC0,K1III,Pegasus
