NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
Kepler-917 b;Confirmed;0.336545455;2016;5/12/2016;Announced on a website;Primary Transit;299.05126;47.949284;1027;0.8
Kepler-918 b;Confirmed;0.287363636;2016;5/12/2016;Announced on a website;Primary Transit;298.200719;48.267838;1245;1.11
Kepler-919 b;Confirmed;0.238181818;2016;5/12/2016;Announced on a website;Primary Transit;298.114772;48.494404;1219;1.15
Kepler-92 b;Confirmed;0.189;2013;12/15/2015;Published in a refereed paper;Primary Transit;289.0875;41.5631;448.57;1.209
Kepler-92 c;Confirmed;0.0179;2013;12/15/2015;Published in a refereed paper;Primary Transit;289.0875;41.5631;448.57;1.209
Kepler-92 d;Confirmed;0.017492308;2015;12/15/2015;Published in a refereed paper;Primary Transit;289.0875;41.5631;448.57;1.209
Kepler-920 b;Confirmed;0.017084615;2016;5/12/2016;Announced on a website;Primary Transit;284.296949;49.158676;926;0.89
Kepler-920 c;Confirmed;0.016676923;2016;5/12/2016;Announced on a website;Primary Transit;284.296949;49.158676;926;0.89
Kepler-921 b;Confirmed;0.016269231;2016;5/12/2016;Announced on a website;Primary Transit;284.616205;49.190811;847;0.93
Kepler-922 b;Confirmed;0.015861538;2016;5/12/2016;Announced on a website;Primary Transit;284.731462;49.533195;558;0.95
Kepler-923 b;Confirmed;0.015453846;2016;5/12/2016;Announced on a website;Primary Transit;294.171085;40.055165;966;1.11
Kepler-924 b;Confirmed;0.015046154;2016;5/12/2016;Announced on a website;Primary Transit;290.668512;40.397718;995;1.14
Kepler-925 b;Confirmed;0.014638462;2016;5/12/2016;Announced on a website;Primary Transit;290.106539;40.490657;623;0.77
Kepler-926 b;Confirmed;0.014230769;2016;5/12/2016;Announced on a website;Primary Transit;289.679343;40.700466;771;1.01
Kepler-927 b;Confirmed;0.013823077;2016;5/12/2016;Announced on a website;Primary Transit;289.38351;41.392695;879;0.99
Kepler-928 b;Confirmed;0.013415385;2016;5/12/2016;Announced on a website;Primary Transit;289.920717;41.542828;532;0.73
Kepler-929 b;Confirmed;0.013007692;2016;5/12/2016;Announced on a website;Primary Transit;298.481124;41.615332;820;1.01
Kepler-93 b;Confirmed;0.0126;2014;11/25/2015;Published in a refereed paper;Primary Transit;291.4208333;38.67250002;862.5;0.911
Kepler-930 b;Confirmed;0.0143925;2016;5/12/2016;Announced on a website;Primary Transit;298.314444;42.247434;905;1.25
Kepler-931 b;Confirmed;0.016185;2016;5/12/2016;Announced on a website;Primary Transit;297.132641;42.768253;490;0.86
Kepler-932 b;Confirmed;0.0179775;2016;5/12/2016;Announced on a website;Primary Transit;296.952062;43.271969;478;0.87
Kepler-933 b;Confirmed;0.01977;2016;5/12/2016;Announced on a website;Primary Transit;289.568659;43.538612;922;0.87
Kepler-934 b;Confirmed;0.0215625;2016;5/12/2016;Announced on a website;Primary Transit;290.288467;43.755322;603;0.81
Kepler-935 b;Confirmed;0.023355;2016;5/12/2016;Announced on a website;Primary Transit;295.021668;46.619217;482;0.78
Kepler-936 b;Confirmed;0.0251475;2016;5/12/2016;Announced on a website;Primary Transit;293.577759;46.736347;687;0.92
Kepler-937 b;Confirmed;0.02694;2016;5/12/2016;Announced on a website;Primary Transit;294.168805;46.714611;1482;1.15
Kepler-937 c;Confirmed;0.0287325;2016;5/12/2016;Announced on a website;Primary Transit;294.168805;46.714611;1482;1.15
Kepler-938 b;Confirmed;0.030525;2016;5/12/2016;Announced on a website;Primary Transit;294.789143;46.98399;861;0.92
Kepler-939 b;Confirmed;0.0323175;2016;5/12/2016;Announced on a website;Primary Transit;293.865613;47.026829;1029;0.88
Kepler-94 b;Confirmed;0.03411;2014;12/17/2015;Published in a refereed paper;Primary Transit;281.19475;47.49713891;1125;0.81
Kepler-94 c;Confirmed;9.836;2014;12/17/2015;Published in a refereed paper;Radial Velocity;281.19475;47.49713891;1221;0.81
Kepler-940 b;Confirmed;8.8565;2016;5/12/2016;Announced on a website;Primary Transit;294.241293;47.275982;1317;0.97
Kepler-941 b;Confirmed;7.877;2016;5/12/2016;Announced on a website;Primary Transit;294.326356;47.217613;1105;0.89
Kepler-942 b;Confirmed;6.8975;2016;5/12/2016;Announced on a website;Primary Transit;294.955114;44.149818;218;0.81
Kepler-944 b;Confirmed;5.918;2016;5/12/2016;Announced on a website;Primary Transit;293.601262;42.379761;1035;0.86
Kepler-945 b;Confirmed;4.9385;2016;5/12/2016;Announced on a website;Primary Transit;291.269748;42.096046;1543;0.97
Kepler-946 b;Confirmed;3.959;2016;5/12/2016;Announced on a website;Primary Transit;300.929606;44.02879;918;0.94
